product_name,description,category,variant_name,sku,price,stock
Classic T-Shirt,High quality 100% cotton t-shirt,Apparel,Red-S,TS-CLS-RED-S,350,50
Classic T-Shirt,High quality 100% cotton t-shirt,Apparel,Red-M,TS-CLS-RED-M,350,40
Classic T-Shirt,High quality 100% cotton t-shirt,Apparel,Blue-S,TS-CLS-BLU-S,350,30
Classic T-Shirt,High quality 100% cotton t-shirt,Apparel,Blue-M,TS-CLS-BLU-M,350,25
Denim Jacket,Premium denim with vintage wash,Apparel,S,JK-DNM-S,1200,10
Denim Jacket,Premium denim with vintage wash,Apparel,M,JK-DNM-M,1200,15
Denim Jacket,Premium denim with vintage wash,Apparel,L,JK-DNM-L,1250,5
Running Shoes,Lightweight and breathable,Footwear,40,SH-RUN-40,2500,8
Running Shoes,Lightweight and breathable,Footwear,41,SH-RUN-41,2500,12
Running Shoes,Lightweight and breathable,Footwear,42,SH-RUN-42,2500,10
Ceramic Coffee Mug,Minimalist design 350ml,Home,Standard,MUG-WHT,150,100
Wireless Mouse,Ergonomic 2.4GHz mouse,Electronics,Black,MS-WRL-BLK,590,45
Wireless Mouse,Ergonomic 2.4GHz mouse,Electronics,White,MS-WRL-WHT,590,30
Leather Wallet,Handmade genuine leather,Accessories,Brown,WL-LTH-BRW,850,20
Leather Wallet,Handmade genuine leather,Accessories,Black,WL-LTH-BLK,850,15
Organic Green Tea,20 tea bags per box,Food,Default,TEA-GRN,220,200
Stainless Steel Bottle,Double wall vacuum insulated,Home,Silver-500ml,BT-SS-500,450,60
Stainless Steel Bottle,Double wall vacuum insulated,Home,Silver-750ml,BT-SS-750,550,40
Gaming Keyboard,RGB mechanical keyboard,Electronics,Blue Switch,KB-RGB-BLU,1800,10
Gaming Keyboard,RGB mechanical keyboard,Electronics,Red Switch,KB-RGB-RED,1850,8
